indiv,geography,seqtot,distance,NS1NS2,site_mission
M590,allo,R.d.dilectus,21.400934559,BL4_NS10N_novb12/BL4_NS7C_novb12,BL4_novb12
M588,allo,R.d.dilectus,60.0083327547,BL3_NS3_novb12/BL3_NS7_novb12,BL3_novb12
M588,allo,R.d.dilectus,62.60990337,BL3_NS3_novb12/BL3_NS91112-1_novb12,BL3_novb12
M588,allo,R.d.dilectus,62.6498204307,BL3_NS3_novb12/BL3_NS13_novb12,BL3_novb12
M588,allo,R.d.dilectus,66.8879660328,BL3_NS3_novb12/BL3_NS19_novb12,BL3_novb12
M588,allo,R.d.dilectus,68.2641926635,BL3_NS3_novb12/BL3_NS8_novb12,BL3_novb12
M588,allo,R.d.dilectus,4.12310562562,BL3_NS7_novb12/BL3_NS91112-1_novb12,BL3_novb12
M588,allo,R.d.dilectus,6,BL3_NS7_novb12/BL3_NS13_novb12,BL3_novb12
M588,allo,R.d.dilectus,11.1803398875,BL3_NS7_novb12/BL3_NS19_novb12,BL3_novb12
M588,allo,R.d.dilectus,12.3693168769,BL3_NS7_novb12/BL3_NS8_novb12,BL3_novb12
M588,allo,R.d.dilectus,2.2360679775,BL3_NS91112-1_novb12/BL3_NS13_novb12,BL3_novb12
M588,allo,R.d.dilectus,7.07106781187,BL3_NS91112-1_novb12/BL3_NS19_novb12,BL3_novb12
M588,allo,R.d.dilectus,8.24621125124,BL3_NS91112-1_novb12/BL3_NS8_novb12,BL3_novb12
M588,allo,R.d.dilectus,5.38516480713,BL3_NS13_novb12/BL3_NS19_novb12,BL3_novb12
M588,allo,R.d.dilectus,6.7082039325,BL3_NS13_novb12/BL3_NS8_novb12,BL3_novb12
M588,allo,R.d.dilectus,1.41421356237,BL3_NS19_novb12/BL3_NS8_novb12,BL3_novb12
M587,allo,R.d.dilectus,9.48683298051,BL4_NS6N_novb12/BL4_NS4N_novb12,BL4_novb12
M587,allo,R.d.dilectus,48.3011387029,BL4_NS6N_novb12/BL4_NS11C_novb12,BL4_novb12
M587,allo,R.d.dilectus,57.2450871254,BL4_NS6N_novb12/BL4_NS6C_novb12,BL4_novb12
M587,allo,R.d.dilectus,73.5459040328,BL4_NS6N_novb12/BL4_NST22_novb12,BL4_novb12
M587,allo,R.d.dilectus,181.664525981,BL4_NS6N_novb12/BL4_NST26_novb12,BL4_novb12
M587,allo,R.d.dilectus,38.9486841883,BL4_NS4N_novb12/BL4_NS11C_novb12,BL4_novb12
M587,allo,R.d.dilectus,47.8852795753,BL4_NS4N_novb12/BL4_NS6C_novb12,BL4_novb12
M587,allo,R.d.dilectus,64.1326749793,BL4_NS4N_novb12/BL4_NST22_novb12,BL4_novb12
M587,allo,R.d.dilectus,173.366663462,BL4_NS4N_novb12/BL4_NST26_novb12,BL4_novb12
M587,allo,R.d.dilectus,8.94427191,BL4_NS11C_novb12/BL4_NS6C_novb12,BL4_novb12
M587,allo,R.d.dilectus,29.8328677804,BL4_NS11C_novb12/BL4_NST22_novb12,BL4_novb12
M587,allo,R.d.dilectus,145.962323906,BL4_NS11C_novb12/BL4_NST26_novb12,BL4_novb12
M587,allo,R.d.dilectus,23.7065391823,BL4_NS6C_novb12/BL4_NST22_novb12,BL4_novb12
M587,allo,R.d.dilectus,140.117807576,BL4_NS6C_novb12/BL4_NST26_novb12,BL4_novb12
M587,allo,R.d.dilectus,116.468879964,BL4_NST22_novb12/BL4_NST26_novb12,BL4_novb12
M583,allo,R.d.dilectus,NA,NA,BL3_novb12
M582,allo,R.d.dilectus,NA,NA,BL3_novb12
