indiv;date;date_mission;site_mission;seqtot;sexe;NS_name_mission;geography;x;y;nuit
M791;26/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS8_novb13;allo;418676;6627534;10
M791;27/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS8_novb13;allo;418676;6627534;10
M791;28/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS8_novb13;allo;418676;6627534;10
M791;29/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS8_novb13;allo;418676;6627534;10
M791;30/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS8_novb13;allo;418676;6627534;10
M785;24/11/2013;novb13;TDR6_novb13;R.pumilio.nord;M;TDR6_NS9_novb13;allo;415271;6625263;6
M785;25/11/2013;novb13;TDR6_novb13;R.pumilio.nord;M;TDR6_NS9_novb13;allo;415271;6625263;6
M785;20/11/2013;novb13;TDR6_novb13;R.pumilio.nord;M;TDR6_NS7_novb13;allo;415258;6625258;6
M785;21/11/2013;novb13;TDR6_novb13;R.pumilio.nord;M;TDR6_NS7_novb13;allo;415258;6625258;6
M785;22/11/2013;novb13;TDR6_novb13;R.pumilio.nord;M;TDR6_NS7_novb13;allo;415258;6625258;6
M785;23/11/2013;novb13;TDR6_novb13;R.pumilio.nord;M;TDR6_NS7_novb13;allo;415258;6625258;6
M769;19/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS4_novb13;allo;418516;6627541;4
M769;20/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS6_novb13;allo;418496;6627535;4
M769;21/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS6_novb13;allo;418496;6627535;4
M769;22/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS6_novb13;allo;418496;6627535;4
M768;22/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS9_novb13;allo;418537;6627589;4
M768;19/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS3_novb13;allo;418535;6627581;4
M768;20/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS3_novb13;allo;418535;6627581;4
M768;21/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS3_novb13;allo;418535;6627581;4
M767;13/11/2013;novb13;TDR6_novb13;R.pumilio.nord;M;TDR6_NS2_novb13;allo;415394;6625216;3
M767;14/11/2013;novb13;TDR6_novb13;R.pumilio.nord;M;TDR6_NS3_novb13;allo;415394;6625218;3
M767;15/11/2013;novb13;TDR6_novb13;R.pumilio.nord;M;TDR6_NS3_novb13;allo;415394;6625218;3
M7;10/11/2011;novb11;SAN_1_4_5_1G_8_novb11;R.d.dilectus;M;AQ_novb11;symp;372253;6937772;10
M7;08/11/2011;novb11;SAN_1_4_5_1G_8_novb11;R.d.dilectus;M;CD_novb11;symp;372241;6937771;10
M7;06/11/2011;novb11;SAN_1_4_5_1G_8_novb11;R.d.dilectus;M;AO_novb11;symp;372235;6937789;10
M7;07/11/2011;novb11;SAN_1_4_5_1G_8_novb11;R.d.dilectus;M;AO_novb11;symp;372235;6937789;10
M7;09/11/2011;novb11;SAN_1_4_5_1G_8_novb11;R.d.dilectus;M;CE_novb11;symp;372229;6937757;10
M7;04/11/2011;novb11;SAN_1_4_5_1G_8_novb11;R.d.dilectus;M;AR_novb11;symp;372217;6937761;10
M7;05/11/2011;novb11;SAN_1_4_5_1G_8_novb11;R.d.dilectus;M;AR_novb11;symp;372217;6937761;10
M7;11/11/2011;novb11;SAN_1_4_5_1G_8_novb11;R.d.dilectus;M;AR_novb11;symp;372217;6937761;10
M7;12/11/2011;novb11;SAN_1_4_5_1G_8_novb11;R.d.dilectus;M;AR_novb11;symp;372217;6937761;10
M7;13/11/2011;novb11;SAN_1_4_5_1G_8_novb11;R.d.dilectus;M;AR_novb11;symp;372217;6937761;10
M63;10/11/2011;novb11;SAN_1_4_5_1G_8_novb11;R.d.dilectus;M;U_novb11;symp;372236;6937735;5
M63;11/11/2011;novb11;SAN_1_4_5_1G_8_novb11;R.d.dilectus;M;V_novb11;symp;372224;6937721;5
M63;12/11/2011;novb11;SAN_1_4_5_1G_8_novb11;R.d.dilectus;M;T_novb11;symp;372211;6937744;5
M63;13/11/2011;novb11;SAN_1_4_5_1G_8_novb11;R.d.dilectus;M;T_novb11;symp;372211;6937744;5
M63;14/11/2011;novb11;SAN_1_4_5_1G_8_novb11;R.d.dilectus;M;T_novb11;symp;372211;6937744;5
M609;15/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA4_NS14_novb12;allo;372369;6938125;3
M609;16/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA4_NS14_novb12;allo;372369;6938125;3
M606;14/11/2012;novb12;BL4_novb12;R.d.dilectus;M;BL4_NS10N_novb12;allo;371490;6946641;5
M606;13/11/2012;novb12;BL4_novb12;R.d.dilectus;M;BL4_NS8C_novb12;allo;371411;6946590;5
M604;15/11/2012;novb12;BL4_novb12;R.d.dilectus;M;BL4_NS4N_novb12;allo;371623;6946651;6
M604;12/11/2012;novb12;BL4_novb12;R.d.dilectus;M;BL4_NS1N_novb12;allo;371605;6946650;6
M604;13/11/2012;novb12;BL4_novb12;R.d.dilectus;M;BL4_NS1N_novb12;allo;371605;6946650;6
M604;16/11/2012;novb12;BL4_novb12;R.d.dilectus;M;BL4_NS1N_novb12;allo;371605;6946650;6
M604;17/11/2012;novb12;BL4_novb12;R.d.dilectus;M;BL4_NS1N_novb12;allo;371605;6946650;6
M604;14/11/2012;novb12;BL4_novb12;R.d.dilectus;M;BL4_NS7N_novb12;allo;371597;6946640;6
M601;10/11/2012;novb12;BL3_novb12;R.d.dilectus;M;BL3_NS30_novb12;allo;370597;6945798;6
M601;11/11/2012;novb12;BL3_novb12;R.d.dilectus;M;BL3_NS30_novb12;allo;370597;6945798;6
M601;09/11/2012;novb12;BL3_novb12;R.d.dilectus;M;BL3_NS28_novb12;allo;370593;6945800;6
M601;12/11/2012;novb12;BL3_novb12;R.d.dilectus;M;BL3_NS37_novb12;allo;370589;6945787;6
M601;13/11/2012;novb12;BL3_novb12;R.d.dilectus;M;BL3_NS37_novb12;allo;370589;6945787;6
M600;12/11/2012;novb12;BL3_novb12;R.d.dilectus;M;BL3_NST13_novb12;allo;370680;6945907;6
M600;08/11/2012;novb12;BL3_novb12;R.d.dilectus;M;BL3_NS17_novb12;allo;370677;6945902;6
M600;09/11/2012;novb12;BL3_novb12;R.d.dilectus;M;BL3_NS17_novb12;allo;370677;6945902;6
M600;10/11/2012;novb12;BL3_novb12;R.d.dilectus;M;BL3_NS31_novb12;allo;370672;6945905;6
M600;11/11/2012;novb12;BL3_novb12;R.d.dilectus;M;BL3_NS31_novb12;allo;370672;6945905;6
M600;13/11/2012;novb12;BL3_novb12;R.d.dilectus;M;BL3_NS31_novb12;allo;370672;6945905;6
M598;06/11/2012;novb12;BL3_novb12;R.d.dilectus;M;BL3_NS13_novb12;allo;370520;6945687;3
M594;06/11/2012;novb12;BL3_novb12;R.d.dilectus;M;BL3_NS18_novb12;allo;370676;6945905;6
M594;07/11/2012;novb12;BL3_novb12;R.d.dilectus;M;BL3_NS18_novb12;allo;370676;6945905;6
M594;08/11/2012;novb12;BL3_novb12;R.d.dilectus;M;BL3_NS24_novb12;allo;370670;6945901;6
M594;09/11/2012;novb12;BL3_novb12;R.d.dilectus;M;BL3_NS29_novb12;allo;370669;6945895;6
M594;10/11/2012;novb12;BL3_novb12;R.d.dilectus;M;BL3_NS29_novb12;allo;370669;6945895;6
M592;12/11/2012;novb12;BL4_novb12;R.d.dilectus;M;BL4_NS3C_novb12;allo;371416;6946595;6
M592;16/11/2012;novb12;BL4_novb12;R.d.dilectus;M;BL4_NS12C_novb12;allo;371412;6946596;6
