site_mission seqtot geography distance
BL3_novb12 R.d.dilectus allo 6.7082039325
BL3_novb12 R.d.dilectus allo 1.41421356237
BL3_novb12 R.d.dilectus allo 7.21110255093
BL3_novb12 R.d.dilectus allo 12.2065556157
BL3_novb12 R.d.dilectus allo 6.0827625303
BL3_novb12 R.d.dilectus allo 5.83095189485
BL3_novb12 R.d.dilectus allo 8.24621125124
BL3_novb12 R.d.dilectus allo 5.83095189485
BL3_novb12 R.d.dilectus allo 4.472135955
BL3_novb12 R.d.dilectus allo 13.6014705087
BL3_novb12 R.d.dilectus allo 13.6014705087
BL4_novb12 R.d.dilectus allo 26.3058928759
BL4_novb12 R.d.dilectus allo 19.3132079158
BL4_novb12 R.d.dilectus allo 8.54400374532
BL4_novb12 R.d.dilectus allo 22.4722050542
BL4_novb12 R.d.dilectus allo 21.400934559
BL4_novb12 R.d.dilectus allo 26.9072480941
BL4_novb12 R.d.dilectus allo 47.7074417675
BL4_novb12 R.d.dilectus allo 2.2360679775
BL4_novb12 R.d.dilectus allo 8.0622577483
BL4_novb12 R.d.dilectus allo 28.8617393793
BL4_novb12 R.d.dilectus allo 7.07106781187
BL4_novb12 R.d.dilectus allo 28.4604989415
BL4_novb12 R.d.dilectus allo 21.5406592285
BL4_novb12 R.d.dilectus allo 23.8537208838
BL4_novb12 R.d.dilectus allo 27.4590604355
BL4_novb12 R.d.dilectus allo 3.60555127546
BL4_novb12 R.d.dilectus allo 17.0293863659
BL4_novb12 R.d.dilectus allo 12.8062484749
BL4_novb12 R.d.dilectus allo 27.4590604355
BL4_novb12 R.d.dilectus allo 9.89949493661
BL4_novb12 R.d.dilectus allo 15.2315462117
BL4_novb12 R.d.dilectus allo 14.7648230602
BL4_novb12 R.d.dilectus allo 9.48683298051
BL4_novb12 R.d.dilectus allo 48.3011387029
BL4_novb12 R.d.dilectus allo 57.2450871254
BL4_novb12 R.d.dilectus allo 73.5459040328
BL4_novb12 R.d.dilectus allo 181.664525981
BL4_novb12 R.d.dilectus allo 38.9486841883
BL4_novb12 R.d.dilectus allo 47.8852795753
BL4_novb12 R.d.dilectus allo 64.1326749793
BL4_novb12 R.d.dilectus allo 173.366663462
BL4_novb12 R.d.dilectus allo 8.94427191
BL4_novb12 R.d.dilectus allo 29.8328677804
BL4_novb12 R.d.dilectus allo 145.962323906
BL4_novb12 R.d.dilectus allo 23.7065391823
BL4_novb12 R.d.dilectus allo 140.117807576
BL4_novb12 R.d.dilectus allo 116.468879964
BL4_novb12 R.d.dilectus allo 6.32455532034
BL4_novb12 R.d.dilectus allo 18.6010752377
BL4_novb12 R.d.dilectus allo 21.400934559
BL4_novb12 R.d.dilectus allo 115.381974329
BL4_novb12 R.d.dilectus allo 143.673240376
BL4_novb12 R.d.dilectus allo 28.8617393793
BL4_novb12 R.d.dilectus allo 4.12310562562
BL4_novb12 R.d.dilectus allo 7.07106781187
BL4_novb12 R.d.dilectus allo 8.54400374532
BL4_novb12 R.d.dilectus allo 6.0827625303
BL4_novb12 R.d.dilectus allo 4.472135955
BL4_novb12 R.d.dilectus allo 8.54400374532
BL4_novb12 R.d.dilectus allo 18.0277563773
BL4_novb12 R.d.dilectus allo 28.231188427
BL4_novb12 R.d.dilectus allo 12.8062484749
SAN10_novb12 R.pumilio.nord allo 5
SAN10_novb12 R.pumilio.nord allo 7.21110255093
SAN10_novb12 R.pumilio.nord allo 22.5610283454
SAN10_novb12 R.pumilio.nord allo 18.0277563773
SAN10_novb12 R.pumilio.nord allo 5
SAN10_novb12 R.pumilio.nord allo 5
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 24.1660919472
SAN_1_4_5_1G_8_novb11 R.pumilio.nord symp 25.495097568
