indiv,INNS,night,site_mission,seqtot,sexe,geography,NS1NS2,distance
M553,5,5,BL1_novb12,R.d.dilectus,M,allo,BL1_NS5_novb12/BL1_NS2_novb12,30.61045573
M553,5,5,BL1_novb12,R.d.dilectus,M,allo,BL1_NS5_novb12/BL1_NS12_novb12,66.7083203206
M553,5,5,BL1_novb12,R.d.dilectus,M,allo,BL1_NS13_novb12/BL1_NS2_novb12,28.0178514522
M553,5,5,BL1_novb12,R.d.dilectus,M,allo,BL1_NS13_novb12/BL1_NS12_novb12,63.7808748764
M553,5,5,BL1_novb12,R.d.dilectus,M,allo,BL1_NS2_novb12/BL1_NS12_novb12,37.2155881319
F575,4,6,BL3_novb12,R.d.dilectus,F,allo,BL3_NS26_novb12/BL3_NS1_novb12,2.2360679775
F575,4,6,BL3_novb12,R.d.dilectus,F,allo,BL3_NS26_novb12/BL3_NS22_novb12,2.2360679775
F575,4,6,BL3_novb12,R.d.dilectus,F,allo,BL3_NS26_novb12/BL3_NS2_novb12,11.6619037897
F575,4,6,BL3_novb12,R.d.dilectus,F,allo,BL3_NS1_novb12/BL3_NS22_novb12,4
F575,4,6,BL3_novb12,R.d.dilectus,F,allo,BL3_NS1_novb12/BL3_NS2_novb12,9.43398113206
F575,4,6,BL3_novb12,R.d.dilectus,F,allo,BL3_NS22_novb12/BL3_NS2_novb12,13
F581,5,7,BL3_novb12,R.d.dilectus,F,allo,BL3_NS15_novb12/BL3_NS91112-2_novb12,1
F581,5,7,BL3_novb12,R.d.dilectus,F,allo,BL3_NS15_novb12/BL3_NS3_novb12,8.54400374532
F581,5,7,BL3_novb12,R.d.dilectus,F,allo,BL3_NS15_novb12/BL3_NS11_novb12,5
F581,5,7,BL3_novb12,R.d.dilectus,F,allo,BL3_NS15_novb12/BL3_NS9_novb12,5.83095189485
F581,5,7,BL3_novb12,R.d.dilectus,F,allo,BL3_NS91112-2_novb12/BL3_NS3_novb12,9.48683298051
F581,5,7,BL3_novb12,R.d.dilectus,F,allo,BL3_NS91112-2_novb12/BL3_NS11_novb12,4.472135955
F581,5,7,BL3_novb12,R.d.dilectus,F,allo,BL3_NS91112-2_novb12/BL3_NS9_novb12,6.40312423743
F581,5,7,BL3_novb12,R.d.dilectus,F,allo,BL3_NS3_novb12/BL3_NS11_novb12,11.0453610172
F581,5,7,BL3_novb12,R.d.dilectus,F,allo,BL3_NS3_novb12/BL3_NS9_novb12,5.38516480713
F581,5,7,BL3_novb12,R.d.dilectus,F,allo,BL3_NS11_novb12/BL3_NS9_novb12,6.0827625303
F584,4,7,BL3_novb12,R.d.dilectus,F,allo,BL3_NS17_novb12/BL3_NS18_novb12,3.16227766017
F584,4,7,BL3_novb12,R.d.dilectus,F,allo,BL3_NS17_novb12/BL3_NS5_novb12,7.21110255093
F584,4,7,BL3_novb12,R.d.dilectus,F,allo,BL3_NS17_novb12/BL3_NS12_novb12,8.0622577483
F584,4,7,BL3_novb12,R.d.dilectus,F,allo,BL3_NS18_novb12/BL3_NS5_novb12,9.48683298051
F584,4,7,BL3_novb12,R.d.dilectus,F,allo,BL3_NS18_novb12/BL3_NS12_novb12,8.0622577483
F584,4,7,BL3_novb12,R.d.dilectus,F,allo,BL3_NS5_novb12/BL3_NS12_novb12,6.40312423743
F585,4,6,BL3_novb12,R.d.dilectus,F,allo,BL3_NS101112-1_novb12/BL3_NS15_novb12,2.82842712475
F585,4,6,BL3_novb12,R.d.dilectus,F,allo,BL3_NS101112-1_novb12/BL3_NS91112-2_novb12,2.2360679775
F585,4,6,BL3_novb12,R.d.dilectus,F,allo,BL3_NS101112-1_novb12/BL3_NS11_novb12,6.0827625303
F585,4,6,BL3_novb12,R.d.dilectus,F,allo,BL3_NS15_novb12/BL3_NS91112-2_novb12,1
F585,4,6,BL3_novb12,R.d.dilectus,F,allo,BL3_NS15_novb12/BL3_NS11_novb12,5
